Tt,CT,DT,Ct,Dt,QmT,NT,Cr,Mo,Cu,Si,Ni,Fatigue
0,30,30.0,0.0,0.0,30,885,0.02,0.0,0.01,0.21,0.01,232
0,30,30.0,0.0,0.0,30,885,0.12,0.0,0.08,0.18,0.08,235
0,30,30.0,0.0,0.0,30,885,0.03,0.0,0.01,0.27,0.02,235
0,30,30.0,0.0,0.0,30,885,0.02,0.0,0.01,0.23,0.01,241
0,30,30.0,0.0,0.0,30,885,0.02,0.0,0.02,0.19,0.01,225
0,30,30.0,0.0,0.0,30,885,0.05,0.0,0.03,0.22,0.02,245
0,30,30.0,0.0,0.0,30,885,0.03,0.0,0.01,0.27,0.02,255
0,30,30.0,0.0,0.0,30,885,0.02,0.0,0.02,0.25,0.01,245
0,30,30.0,0.0,0.0,30,885,0.1,0.0,0.09,0.23,0.06,275
0,30,30.0,0.0,0.0,30,885,0.02,0.0,0.01,0.26,0.02,239
0,30,30.0,0.0,0.0,30,885,0.03,0.0,0.03,0.26,0.01,255
60,30,30.0,0.0,0.0,30,865,0.01,0.0,0.02,0.21,0.01,397
60,30,30.0,0.0,0.0,30,865,0.1,0.0,0.01,0.3,0.01,419
60,30,30.0,0.0,0.0,30,865,0.02,0.0,0.01,0.26,0.01,401
60,30,30.0,0.0,0.0,30,865,0.12,0.0,0.09,0.26,0.08,394
60,30,30.0,0.0,0.0,30,865,0.03,0.0,0.02,0.21,0.01,426
60,30,30.0,0.0,0.0,30,865,0.09,0.0,0.11,0.29,0.06,426
60,30,30.0,0.0,0.0,30,865,0.1,0.0,0.03,0.26,0.01,454
60,30,30.0,0.0,0.0,30,865,0.02,0.0,0.03,0.26,0.02,418
60,30,30.0,0.0,0.0,30,865,0.11,0.0,0.02,0.27,0.01,416
60,30,30.0,0.0,0.0,30,865,0.01,0.0,0.01,0.25,0.03,395
60,30,30.0,0.0,0.0,30,865,0.02,0.0,0.02,0.24,0.02,433
60,30,30.0,0.0,0.0,30,865,0.1,0.0,0.08,0.21,0.06,379
60,30,30.0,0.0,0.0,30,865,0.01,0.0,0.02,0.21,0.01,382
60,30,30.0,0.0,0.0,30,865,0.1,0.0,0.01,0.3,0.01,385
60,30,30.0,0.0,0.0,30,865,0.02,0.0,0.01,0.26,0.01,365
60,30,30.0,0.0,0.0,30,865,0.12,0.0,0.09,0.26,0.08,379
60,30,30.0,0.0,0.0,30,865,0.03,0.0,0.02,0.21,0.01,377
60,30,30.0,0.0,0.0,30,865,0.09,0.0,0.11,0.29,0.06,394
60,30,30.0,0.0,0.0,30,865,0.1,0.0,0.03,0.26,0.01,425
60,30,30.0,0.0,0.0,30,865,0.02,0.0,0.03,0.26,0.02,395
60,30,30.0,0.0,0.0,30,865,0.11,0.0,0.02,0.27,0.01,393
60,30,30.0,0.0,0.0,30,865,0.01,0.0,0.01,0.25,0.03,375
60,30,30.0,0.0,0.0,30,865,0.02,0.0,0.02,0.24,0.02,389
60,30,30.0,0.0,0.0,30,865,0.1,0.0,0.08,0.21,0.06,358
60,30,30.0,0.0,0.0,30,865,0.01,0.0,0.02,0.21,0.01,344
60,30,30.0,0.0,0.0,30,865,0.1,0.0,0.01,0.3,0.01,369
60,30,30.0,0.0,0.0,30,865,0.02,0.0,0.01,0.26,0.01,325
60,30,30.0,0.0,0.0,30,865,0.12,0.0,0.09,0.26,0.08,338
