Tt,CT,DT,Fatigue
0,30,30.0,232
0,30,30.0,235
0,30,30.0,235
0,30,30.0,241
0,30,30.0,225
0,30,30.0,245
0,30,30.0,255
0,30,30.0,245
0,30,30.0,275
0,30,30.0,239
0,30,30.0,255
60,30,30.0,397
60,30,30.0,419
60,30,30.0,401
60,30,30.0,394
60,30,30.0,426
60,30,30.0,426
60,30,30.0,454
60,30,30.0,418
60,30,30.0,416
60,30,30.0,395
60,30,30.0,433
60,30,30.0,379
60,30,30.0,382
60,30,30.0,385
60,30,30.0,365
60,30,30.0,379
60,30,30.0,377
60,30,30.0,394
60,30,30.0,425
60,30,30.0,395
60,30,30.0,393
60,30,30.0,375
60,30,30.0,389
60,30,30.0,358
60,30,30.0,344
60,30,30.0,369
60,30,30.0,325
60,30,30.0,338
60,30,30.0,362
60,30,30.0,361
60,30,30.0,385
60,30,30.0,348
60,30,30.0,368
60,30,30.0,341
60,30,30.0,365
60,30,30.0,325
60,30,30.0,513
60,30,30.0,448
60,30,30.0,465
60,30,30.0,446
60,30,30.0,437
60,30,30.0,502
60,30,30.0,465
60,30,30.0,475
60,30,30.0,504
60,30,30.0,486
60,30,30.0,452
60,30,30.0,459
60,30,30.0,415
60,30,30.0,437
60,30,30.0,415
60,30,30.0,401
60,30,30.0,463
60,30,30.0,442
60,30,30.0,438
60,30,30.0,468
60,30,30.0,452
60,30,30.0,422
60,30,30.0,413
60,30,30.0,395
60,30,30.0,398
60,30,30.0,378
60,30,30.0,372
60,30,30.0,415
60,30,30.0,396
60,30,30.0,388
60,30,30.0,415
60,30,30.0,398
60,30,30.0,382
60,30,30.0,523
60,30,30.0,534
60,30,30.0,489
60,30,30.0,500
60,30,30.0,495
60,30,30.0,522
60,30,30.0,531
60,30,30.0,533
60,30,30.0,492
60,30,30.0,505
60,30,30.0,541
60,30,30.0,468
60,30,30.0,459
60,30,30.0,444
60,30,30.0,458
60,30,30.0,445
60,30,30.0,464
60,30,30.0,466
60,30,30.0,486
60,30,30.0,461
60,30,30.0,464
60,30,30.0,475
60,30,30.0,419
60,30,30.0,418
60,30,30.0,402
60,30,30.0,398
60,30,30.0,411
60,30,30.0,428
60,30,30.0,415
60,30,30.0,425
60,30,30.0,412
60,30,30.0,410
60,30,30.0,415
60,30,30.0,582
60,30,30.0,524
60,30,30.0,583
60,30,30.0,569
60,30,30.0,536
60,30,30.0,577
60,30,30.0,565
60,30,30.0,562
60,30,30.0,522
60,30,30.0,504
60,30,30.0,516
60,30,30.0,517
60,30,30.0,511
60,30,30.0,518
60,30,30.0,524
60,30,30.0,503
60,30,30.0,483
60,30,30.0,457
60,30,30.0,482
60,30,30.0,470
60,30,30.0,459
60,30,30.0,490
60,30,30.0,485
60,30,30.0,483
60,30,30.0,587
60,30,30.0,571
60,30,30.0,578
60,30,30.0,526
60,30,30.0,535
60,30,30.0,572
60,30,30.0,562
60,30,30.0,563
60,30,30.0,583
60,30,30.0,585
60,30,30.0,592
60,30,30.0,573
60,30,30.0,536
60,30,30.0,557
60,30,30.0,552
60,30,30.0,519
60,30,30.0,524
60,30,30.0,508
60,30,30.0,490
60,30,30.0,550
60,30,30.0,515
60,30,30.0,530
60,30,30.0,546
60,30,30.0,535
60,30,30.0,550
60,30,30.0,542
60,30,30.0,592
60,30,30.0,524
60,30,30.0,497
60,30,30.0,491
60,30,30.0,463
60,30,30.0,464
60,30,30.0,459
60,30,30.0,489
60,30,30.0,477
60,30,30.0,469
60,30,30.0,496
60,30,30.0,467
60,30,30.0,511
60,30,30.0,490
60,30,30.0,523
60,30,30.0,476
60,30,30.0,610
60,30,30.0,581
60,30,30.0,625
60,30,30.0,562
60,30,30.0,635
60,30,30.0,566
60,30,30.0,638
60,30,30.0,606
60,30,30.0,582
60,30,30.0,634
60,30,30.0,585
60,30,30.0,603
60,30,30.0,625
60,30,30.0,631
60,30,30.0,625
60,30,30.0,551
60,30,30.0,539
60,30,30.0,564
60,30,30.0,550
60,30,30.0,590
60,30,30.0,527
60,30,30.0,557
60,30,30.0,551
60,30,30.0,583
60,30,30.0,570
60,30,30.0,543
60,30,30.0,543
60,30,30.0,563
60,30,30.0,577
60,30,30.0,578
60,30,30.0,490
60,30,30.0,496
60,30,30.0,511
60,30,30.0,494
60,30,30.0,517
60,30,30.0,480
60,30,30.0,502
60,30,30.0,504
60,30,30.0,505
60,30,30.0,502
60,30,30.0,496
60,30,30.0,501
60,30,30.0,517
60,30,30.0,523
60,30,30.0,516
60,30,30.0,486
60,30,30.0,427
60,30,30.0,510
60,30,30.0,451
60,30,30.0,425
60,30,30.0,432
60,30,30.0,482
60,30,30.0,435
60,30,30.0,406
60,30,30.0,470
60,30,30.0,438
60,30,30.0,404
60,30,30.0,406
60,30,30.0,443
60,30,30.0,397
60,30,30.0,385
60,30,30.0,425
60,30,30.0,396
60,30,30.0,380
60,30,30.0,363
60,30,30.0,398
60,30,30.0,505
60,30,30.0,536
60,30,30.0,484
60,30,30.0,495
60,30,30.0,551
60,30,30.0,477
60,30,30.0,530
60,30,30.0,516
60,30,30.0,445
60,30,30.0,551
60,30,30.0,510
60,30,30.0,443
60,30,30.0,449
60,30,30.0,502
60,30,30.0,451
60,30,30.0,459
60,30,30.0,497
60,30,30.0,451
60,30,30.0,497
60,30,30.0,461
60,30,30.0,399
60,30,30.0,502
60,30,30.0,490
60,30,30.0,424
60,30,30.0,411
60,30,30.0,448
60,30,30.0,404
60,30,30.0,411
60,30,30.0,438
60,30,30.0,410
60,30,30.0,450
60,30,30.0,410
60,30,30.0,383
60,30,30.0,460
60,30,30.0,442
60,30,30.0,399
60,30,30.0,563
60,30,30.0,530
60,30,30.0,570
60,30,30.0,578
60,30,30.0,537
60,30,30.0,569
60,30,30.0,576
60,30,30.0,549
60,30,30.0,522
60,30,30.0,570
60,30,30.0,510
60,30,30.0,510
60,30,30.0,517
60,30,30.0,540
60,30,30.0,518
60,30,30.0,523
60,30,30.0,537
60,30,30.0,536
60,30,30.0,503
60,30,30.0,540
60,30,30.0,490
60,30,30.0,477
60,30,30.0,483
60,30,30.0,503
60,30,30.0,471
60,30,30.0,476
60,30,30.0,502
60,30,30.0,496
60,30,30.0,471
60,30,30.0,497
60,30,30.0,591
60,30,30.0,590
60,30,30.0,606
60,30,30.0,584
60,30,30.0,604
60,30,30.0,591
60,30,30.0,588
60,30,30.0,588
60,30,30.0,550
60,30,30.0,609
60,30,30.0,604
60,30,30.0,619
60,30,30.0,643
60,30,30.0,569
60,30,30.0,551
60,30,30.0,543
60,30,30.0,543
60,30,30.0,524
60,30,30.0,571
60,30,30.0,542
60,30,30.0,531
60,30,30.0,531
60,30,30.0,512
60,30,30.0,563
60,30,30.0,550
60,30,30.0,583
60,30,30.0,583
60,30,30.0,550
60,30,30.0,482
60,30,30.0,482
60,30,30.0,490
60,30,30.0,476
60,30,30.0,483
60,30,30.0,480
60,30,30.0,491
60,30,30.0,471
60,30,30.0,469
60,30,30.0,490
60,30,30.0,483
60,30,30.0,498
60,30,30.0,491
60,30,30.0,463
60,30,30.0,600
60,30,30.0,615
60,30,30.0,607
60,30,30.0,596
60,30,30.0,618
60,30,30.0,585
60,30,30.0,551
60,30,30.0,556
60,30,30.0,550
60,30,30.0,537
60,30,30.0,543
60,30,30.0,543
60,30,30.0,471
60,30,30.0,476
60,30,30.0,482
60,30,30.0,477
60,30,30.0,491
60,30,30.0,479
60,30,30.0,781
60,30,30.0,698
60,30,30.0,906
60,30,30.0,740
60,30,30.0,678
60,30,30.0,770
60,30,30.0,794
60,30,30.0,855
60,30,30.0,768
60,30,30.0,745
60,30,30.0,707
60,30,30.0,718
60,30,30.0,874
60,30,30.0,829
60,30,30.0,700
60,30,30.0,806
60,30,30.0,720
60,30,30.0,688
120,930,850.0,1034
120,930,850.0,1139
120,930,850.0,1002
120,930,850.0,1056
120,930,850.0,1124
120,930,850.0,1082
120,930,850.0,1054
120,930,850.0,1190
120,930,850.0,935
120,930,850.0,1037
120,930,850.0,1110
120,930,850.0,1035
120,930,882.381,927
120,930,882.381,976
120,930,882.381,986
120,930,895.517,956
120,930,895.517,946
120,930,895.517,1089
120,930,903.333,960
120,930,903.333,1033
120,930,903.333,1080
120,930,895.517,924
120,930,895.517,1009
120,930,895.517,1053
120,930,895.517,854
120,930,895.517,1086
120,930,895.517,889
120,930,895.812,884
120,930,895.812,1057
120,930,895.812,900
120,930,895.812,876
120,930,895.812,1068
120,930,895.812,838
120,930,895.812,873
120,930,895.812,1120
120,930,895.812,898
120,930,881.807,1074
120,930,881.807,1006
120,930,881.807,858
120,930,895.812,1144
120,930,895.812,1028
120,930,895.812,948
120,930,895.812,1080
120,930,895.812,1030
120,930,895.812,957
120,930,895.812,1104
120,930,895.812,1008
120,930,895.812,882
